mention,,
species,accomplishment,chimpanzee
magnetic,brilliantly,canyon
nutrient,briny,carbohydrate
popularity,briskness,cell
progress,brisk,cone
stimulate,brittle,cripple
capable,broaden,crippling
archaeologist,brochure,crow
architectural,bronze,crude
detect,bronze Age,culminate
divide,sun-bronzed,cuticle
edge,bubble,cylinder
erosion,buckle,
extensive,,distasteful
gravity,budget,edentate
institution,bulk,electron
intense,,emigrant
volcano,bulky,enzyme
mantle,bump,epidermis
negative,,expenditure
oyster,bump into,fir
pioneer,burgeon,flea
negative,burrow,genre
,,gland
primitive,by-product,glandular
primitive,by a factor of,kymograph
regulate,by chance,grumble
ritual,by far,handicraft
stretch,cab,hands-on
volcano,taxicab,haze
accurate,cadence,helium
arrangement,calibration,ham
balance,calm,herculean
board,,house
dangerous,,hummingbird
dominate,captivity,import
employee,cardiac,insulin
enormous,cardinal,interconnected
extinct,,interconnecting
furniture,cargo,interstice
glacial,casual,interstitial
habitat,catalyst,intertwine
habitat,catalyze,interstellar
mechanism,catastrophe,verdict
originate,catching,sentence
perfect,eye-catching,lave
permanent,catch on,lavatory
poster,categorize,long-range
pot,category,magnesium
potential,cater,mingle
radiation,caterpillar,mingling
readily,cavern,neoclassical
shelter,cavity,nostrum
slightly,cease,note
intense,ceaseless,narrator
tornado,celebrated,outrage
virtually,celebrate,
account,,oxen
additional,celebrity,paleontologist
average,celestial,peak
basin,centennial,perch
,centigrade,perspire
combination,chafe,picturesque
communicate,,premium
compete,chagrin,
display,chamber,pristine
leading,chamber music,protein
medium,chaos,protectionist
numerous,chaotic,
post,charitable,
pound,chaste,ranch
quarter,chat,ranching
reserve,chateau,rapture
survey,cherish,
symbol,chill,readjust
trend,,redirect
brown,chilly,repulse
considerable,chilli,
consume,chisel,
consumer,,scotch
convert,chop,self-sufficient
dessert,choppy,semimolten
doubt,chivalry,short-range
eliminate,choke,stock car racing
float,chronology,reorient
goal,chronological,skull
harmful,chronic,tumble
identify,chunk,tunnel
imitate,chubby,turnpike
investigation,cite,
"larva（pl. larvas, larvae）",clam,
memory,clamor,
opportunity,reclamation,
orchestra,clap,
politics,,
pottery,clarify,
request,clarification,
resident,clause,
sufficient,cling,
surge,,
opportunity,clinic,
variation,clinical,
analysis,clip,
annual,clockwise,
archaeology,counterclockwise,
calculate,clog,
ceremony,clumsy,
contact,clutch,
convention,,
decay,coalition,
deposit,coalescence,
,coalesce,
distinction,coax,
exchange,codify,
beneath,code of laws,
restrict,coexist,
reveal,cognitive,
salinity,coherent,
score,,
,cohesion,
theme,cohesive,
transfer,coherence,
undergo,coil,
virus,,
abstract,recoil,
altitude,coincide,
calculation,coincident,
cliff,coincidence,
conflict,collaborate,
conventional,collaboration,
crack,collapse,
delay,colleague,
dentist,collective,
dependent,colloquial,
,colloquialism,
distinguished,comet,
emit,cometary,
inhabitant,comic,
migration,comical,
nervous,commander,
petroleum,commemorate,
portray,comment,
proposal,,
studio,commentary,
temporary,commentator,
textile,commission,
threaten,,
version,commissioner,
in addition to,commonsense,
adjust,commonplace,
artificial,commuter,
burning,commute,
mantle,telecommuter,
decorative,compact,
dissolve,,
downtown,compaction,
evaporate,companion,
bulb,compatible,
positive,incompatible,
puzzle,compel,
revise,compensate,
revolutionary,compensation,
snowflake,compensatory,
thread,compile,
accumulate,complacence,
acid,complement,
adaptation,,
arid,complementary,
behave,compliment,
belong to,complimentary,
calculator,compress,
civilization,compression,
cluster,compressed,
inhabit,comprise,
inhabitant,compromise,
continental,compulsory,
decorate,concave,
drift,convex,
selection,concede,
emerge,conceive,
facility,concentric,
faculty,concise,
ware,conciseness,
jewelry,concomitant,
outdoors,concrete,
preservation,,
proper,concurrent,
drift,condemn,
sea cucumber,condemnation,
sloth,confederate,
suit,confederacy,
talent,confess,
terrestrial,confession,
evaporate,confide,
wool,confident,
abundance,confidence,
administration,overconfident,
adopt,configuration,
component,confluence,
connection,conform,
eclipse,conformity,
emission,nonconformity,
evaporation,nonconformist,
former,confront,
fundamental,congenial,
vertebrate,congenital,
irregular,congestion,
migratory,congested,
opera,congratulation,
portion,congregate,
possess,conglomerate,
postpone,conjectural,
prey,conjecture,
propose,considerate,
refrigerator,consideration,
frisky,consort,
selection,consortium,
suitable,conspicuous,
ecosystem,conspiracy,
timber,constellation,
tuition,,
twig,consternation,
underground,constricted,
underwater,constrict,
vertebrate,constraint,
ware,constrain,
actual,consult,
archaeological,consultant,
astronomy,contemplate,
attire,context,
,continuity,
congressional,continuum,
destruction,continuation,
distant,contour,
diver,,
elementary,converge,
encounter,convey,
evolutionary,convict,
flexible,conviction,
fort,convincing,
gallery,unconvincing,
genetic,convinced,
grasshopper,convivial,
humidity,cooperate,
emergence,cooperation,
novel,cooperative,
odor,coordinate,
oral,coordinated,
peninsula,coordination,
perform,correlate,
precious,correlated,
reform,correspondence,
regulation,,
relax,corrosion,
rigid,corrosive,
scholarship,corruption,
significance,counteract,
specimen,counterbalance,
stick,counterclockwise,
string,counterfeit,
submit,,
superior,counterpart,
swamp,countless,
trash,cowhand,
upset,cowboy,
vote,cozy,
,cram,
alternative,cramped,
awareness,scramble,
complain,crash,
consciousness,,
consistent,crawl,
container,crayon,
density,crazy,
distribute,creek,
distribution,creep,
dominant,crooked,
economics,,
explore,crevice,
exposure,crossing,
fund,crossbreeding,
load,crisscross,
timber,the Red Cross,
nucleus,crossbones,
orchid,crosscut,
pensive,crumple,
personality,crumble,
phase,crush,
philosophy,cue,
potter,culinary,
respond,cumbersome,
responsibility,cushion,
staff,,
tendency,a cushion of,
tension,air-cushion vehicle,
tough,damp,
varied,dampen,
achievement,daring,
auditorium,dart,
bulb,,
,dash off,
district,daunting,
dweller,dawn,
dwelling,,
emotional,dawning,
endangered,dazzling,
eruption,deadly,
fairly,debt,
firm,debtor,
flourish,deceive,
,decent,
frame,,
global,deceptive,
gull,deception,
irrigation,decompose,
log,decomposition,
metropolitan,defect,
microscopic,defective,
migrate,deference,
offspring,deferential,
pants,defer,
pollute,,
recognition,deform,
reliable,deformation,
romote,deft,
retain,adept,
,degrade,
somewhat,degradation,
offspring,dehydrate,
coach,dehydrated,
taste,dehydration,
trace,deign,
viscous,deity,
voyage,delectable,
academic,delegate,
accompany,,
authority,deliberate,
bar,,
besides,deliberately,
boundary,delirium,
breathe,demobilize,
compose,immobilize,
conductor,democracy,
confuse,demolish,
reef,demolition,
court,denote,
canyon,denounce,
crew,dent,
debate,,
definite,indent,
depict,indenture,
discourage,deny,
dramatically,,
durable,deplete,
earthquake,depletion,
elaborate,depot,
elevation,depreciation,
flavor,deprive,
fortunate,deprivation,
harbor,depredation,
incubate,desalination,
lay,deserve,
nutritional,undeserved,
orbit,desolate,
ore,desperate,
pave the way for,desperately,
pesticide,despoiler,
proportion,despoil,
prospector,destination,
reject,destine,
remind,deter,
reproductive,deterrent,
sketch,deteriorate,
status,determinant,
thesis,detest,
tide,detrimental,
tower,detriment,
division,devastate,
alike,devastation,
antibiotic,devastating,
assist,devoid,
association,devour,
astronomer,diagnose,
barrier,diagonal,
boring,diagonally,
bowl,diameter,
census,diagram,
consumption,dialogue,
costume,differentiate,
credit,undifferentiated,
debris,diffuse,
exaggerate,,
external,dignity,
helpful,digression,
immediate,dilemma,
incorpoarate,diligent,
inhabit,diligently,
inspire,dilute,
external,dilution,
isolate,dilate,
maintenance,dim,
naturalist,dimly,
opposite,diminish,
announce,diplomacy,
,diplomatic,
pitch,disapproval,
primate,disaster,
prominent,disastrous,
rotate,discard,
sensory,discern,
seriously,discernible,
shot,discerning,
slip,discharge,
sophisticated,,
steady,,
,disciple,
vehicle,discipline,
account for,,
artisan,,
bark,subdiscipline,
bound,disciplined,
breed,discomfort,
circumstance,discontented,
confirm,discontent,
consequence,discount,
controversial,,
cultivation,discrete,
currently,discreet,
delicious,disgust,
digest,disgusted,
diverse,disillusion,
emotion,disintegrate,
emphasis,disinterested,
empty,dismal,
entertainment,dismay,
exploration,,
extract,dismember,
favorable,dismembered,
gravitational,dismiss,
harvest,disorganize,
identity,dispatch,
implementation,,
supplement,dispense,
impressive,dispense with,
industrialization,disperse,
institute,dispersal,
interaction,displace,
injury,displacement,
leadership,disposal,
lift,dispose of,
massive,disposed,
mathematics,disposition,
output,disproportionate,
pest,dispute,
pit,,
profession,disregard,
projector,disrepute,
questionnaire,disrupt,
satire,disseminate,
shallow,dissenter,
slope,dissenting,
spontaneous,dissertation,
stem,dissimilar,
thrive,dissipate,
trove,dissipated,
tremendous,distend,
vertical,distent,
voter,distill,
absence,distort,
access,undistorted,
admire,distortion,
latitude,distract,
announce,distress,
astronomical,disturb,
attraction,undisturbed,
beneficial,disturbance,
biologist,divergent,
ceremonial,divergence,
choreographer,divorce,
conservation,,
considerably,dizzying,
copper,dizzy,
curriculum,dizziness,
devote,doctrine,
disadvantage,dolphin,
domestic,domain,
faint,dogged,
fertile,dogma,
freight,doll,
,donate,
humid,donation,
ignore,donor,
ingredient,dormant,
inspect,dot,
interval,,
evade,draft,
latitude,,
liberty,draft animal,
magnitude,drag,
manual,dragonfly,
media,dread,
microorganism,dreadful,
molten,dreadfully,
myth,dreary,
occasionally,drop in,
microorganism,drowsy,
overall,drudgery,
panel,ductile,
parasite,dull,
prescription,dumb,
rainfall,dumbbell-like,
representation,dump,
reproduction,duplicate,
resistance,,
secrete,dwarf,
shed,,
spectacular,dynamic,
,dynamics,
sustain,aerodynamics,
outstanding,thermodynamics,
suitcase,eccentric,
thorough,eccentricity,
unfortunately,eclecticism,
diverse,ecological,
utility,ecologist,
utilize,ecosystem,
evaporation,edible,
,edifice,
vital,elasticity,
devote,inelastic,
weapon,elegant,
wedding,elegance,
wildlife,elicit,
alloy,eligible,
assumption,elite,
boom,elliptical,
check out,,
circulation,elongate,
collide,eloquent,
conceal,elusive,
coral reef,emancipate,
critical,emancipation,
a great deal,embarrass,
deal with,embed,
designate,embellish,
eager,embellishment,
enclose,emblem,
expedition,embody,
extraordinary,emboss,
fabric,embrace,
fabric,,
file,embroider,
,embroidery,
imitation,eminent,
intensive,eminence,
investigate,preeminent,
keen,enactment,
magna,encase,
lunar,encompass,
magnify,,
mechanical,encroach,
multiple,encyclopedia,
nutritious,endeavor,
odd,,
Hispanic,endless,
perception,endlessly,
plantation,endow,
practical,,
quilt,endowment,
recipe,endure,
recommendation,,
religion,enduring,
remarkably,endurance,
renew,engaging,
restore,engage in,
secret,enlightenment,
sequence,enrage,
spiral,enrich,
,ensemble,
subtractive,,
supervisor,entanglement,
symbolize,,
symphony,enterprise,
terrain,enterprising,
,entitle,
trait,,
transition,entitled,
transmit,entity,
transplant,entrenched,
trap,entry,
vent,envelop,
vigorous,envision,
weathering,ephemeral,
yield,epidemic,
,epoch,
zone,eradicate,
,erect,
barbecue,erratic,
beam,erratically,
,error,
blush,escalate,
the Cabinet,,
chart,escalator,
circle,estate,
collision,real estate,
,eternal,
conclude,ethics,
conserve,ethically,
barbecue,ethnic,
defend,evanescent,
condense,eventful,
prediction,evergreen,
dimensional,evoke,
drought,exact,
dye,exacting,
embryo,exalted,
energetic,exception,
evaluate,exceptional,
exert,exceptionally,
,excess,
explorer,,
extension,excessive,
fixed,exclaim,
transformation,exclude,
garbage,exclusion,
beam,exclusive,
gulf,exclusively,
halt,execute,
harmony,execution,
hurricane,executive,
inadequate,,
initiate,exemplary,
initial,exemplify,
innovation,exempt,
intelligent,exemption,
isolated,exhale,
jar,exhilarating,
journal,exhilarate,
lava,exit,
legislature,exorbitant,
logical,exotic,
loose,expel,
memorize,expertise,
,expire,
navigation,,
occurrence,explicit,
outbreak,implicit,
pack,explode,
permission,explosive,
pleasure,,
radar,exponential,
recreation,extol,
residence,extremity,
resistant,exuberant,
roughly,,
ruin,eyewitness,
scenery,facade,
security,facet,
eggshell,multifaceted,
solitary,face,
spring,facsimile,
pursue,faction,
superior to,petrifaction,
sustain,satisfaction,
,factual,
tempt,fade,
termite,,
toxic,faithful,
transformation,,
,faithfulness,
abandon,fake,
capability,,
absent,famine,
absolute,fanatical,
aim,fanatic,
anticipate,fanaticism,
attendance,fancy,
blossom,fanciful,
campaign,infancy,
civil,fantastic,
classification,fantasy,
coarse,far-reaching,
complexity,farce,
condense,fascinate,
confine,fascinating,
contract,fascination,
convenient,fashionable,
cosmic,fashion,
,,
customs,fasten,
deficiency,fatal,
delicate,fateful,
departure,fatigue,
descendant,faucet,
destructive,fault,
devise,,
two/three dimensional,fauna,
education,feasible,
enthusiasm,feat,
episode,feeble,
evident,fend for oneself,
exhausted,fender,
favored,ferment,
fertilize,,
festival,fermentation,
camouflage,ferry,
flock,fervor,
founder,feverish,
immune system,feud,
implement,feudal,
in terms of,fidelity,
inhibit,field research,
initially,fierce,
insist,figurehead,
inspiration,finesse,
intention,,
intricate,fishy,
,fixture,
kiln,flabby,
laborer,flag,
flash,,
lasting,flair,
laundry,flake,
luxury,,
mechanized,snowflake,
modify,flamboyant,
noisy,flare,
packaging,,
pamphlet,flash,
patent,,
practically,flashlight,
unprecedented,fleeting,
prediction,flickering,
preference,flounder,
probe,fluctuate,
progressive,fluctuation,
rank,fluent,
recall,fluffy,
,fluorescent,
scarce,flux,
scatter,influx,
seasonal,foe,
senator,fog,
consequence,foghorn,
stagecoach,fogged,
,foggy,
strand,fold,
strengthen,,
striking,folding,
subtle,scaffolding,
systematic,thousandfold,
customs,unfold,
thunderstorm,follow suit,
hurricane,folly,
transparent,foment,
,foolish,
unprecedented,footnote,
unpredictable,forage,
,,
wax,foray,
,forbid,
weed,forbidding,
fragile,ford,
amplify,Ford,
analogy,forefront,
apologize,foremost,
,forerunner,
assemble,foresee,
assistance,foresight,
barbed wire,foreshadow,
blame,forestall,
baby boom,foretell,
bud,forge,
bunch,formidable,
log cabin,formula,
civilian,formulate,
comparative,fortuitous,
consequently,fortuitously,
conservative,foster,
crab,,
,foul,
curious,fraction,
date,,
deal,refraction,
declaration,fracture,
definitely,,
demonstration,fragrant,
documentary,fragrance,
,frank,
drain,fray,
emergence,,
employer,frenetic,
engraving,frenzy,
enhance,fanatical,
entrepreneur,freshly,
erode,freshness,
excavation,friction,
exciting,,
exploit,frightening,
expressive,frigid,
feminist,,
filter,fringe,
fitness,,
informative,frivolity,
fragile,from a far,
functional,frost,
funding,,
warehouse,defrost,
graphic,frown,
haven,frugal,
hemisphere,frugality,
humorous,fruitful,
identical,fruitfulness,
illustration,fruitless,
impose,fruitlessly,
inflation,frustrate,
innovative,,
insight,frustration,
instruct,frustrating,
intelligence,fume,
journalism,perfume,
justice,fumigate,
legend,furious,
,fuse,
,fused,
amendment,fusion,
obstacle,,
occupy,diffusion,
orientation,infusion,
,confusion,
phenomena,galvanize,
polygon,galvanization,
postal,gap,
prolific,,
realm,gaseous,
reformer,gasoline,
relevant,gauge,
relieve,,
reservoir,gazette,
residential,gear,
resolve,,
screen,gem,
sensitive,gemstone,
shade,generalize,
span,generalization,
supplement,generous,
supreme,,
swallow,genial,
symptom,congenial,
toe,gentility,
reverse,genuine,
vibration,germ,
virtue,get rid of,
warehouse,get in the way of,
adjustment,gibe,
balanced,gigantic,
rainbow,gilding,
breath,glamorous,
circular,glare,
commodity,,
competing,glean,
consciously,glide,
constituent,glider,
conventionally,glimpse,
,,
craftspeople,glorify,
,glossy,
drawback,glowing,
residue,gnaw,
exterior,go broke,
format,gold rush,
furnish,gorgeous,
identification,gospel,
intellectual,gossip,
interact,gourmet,
justify,gourmand,
commemorate,govern,
opposed,governor,
priority,grab,
realization,grace,
rough,graceful,
sedimentary,disgrace,
shellfish,gradient,
hypothesis,graft,
undergraduate,grand,
additive,grandeur,
administer,granite,
appealing,graphite,
appoint,grasp,
authenticate,,
back and forth,grateful,
,graze,
keyboard,grazing land,
breathing,grease,
civil rights,greedy,
commerce,grind,
communal,grip,
contaminate,grope,
,guarantee,
digestive,gulp,
educated,gush,
efficiency,gust,
exposition,gymnastic,
facilitate,gymnastics,
fertilizer,gyration,
,hail,
flexibility,,
fragment,hallmark,
genetically,hamburger,
invertebrate,hamper,
isolation,handicap,
moist,,
navigate,handy,
nuclei,handful,
occasional,haphazard,
occupation,hardy,
periodic,harden,
postage,hardy,
postcard,harness,
puzzling,,
reliance,harsh,
suited,,
toed,harshness,
tutor,haste,
invertebrate,hasten,
,chaste,
accounting,hatch,
acidic,hatchling,
,hatchery,
adoption,hatchet,
applicant,thatch,
disappointment,haul,
cabin,,
champion,overhaul,
championship,haunt,
cancellation,,
careless,haunted,
cast,hay,
commitment,heyday,
comparable,hazard,
air conditioner,hazardous,
conservationist,heal,
convenience,healing,
coverage,healthful,
spacecraft,heed,
date back,heel,
,heighten,
,heir,
derive from,herald,
desirable,herd,
document,,
predominantly,shepherd,
effectiveness,herder,
,heredity,
feed on,heritage,
finance,heroism,
framework,hesitate,
,hestiant,
genetics,heterogeneous,
graph,homogeneous,
hide,hexagonal,
imaginary,hibernate,
journalist,hibernation,
legendary,hierarchy,
light bulb,highlight,
literally,,
memo,hike,
microwave,,
mold,hilly,
molecular,chilly,
mythology,hinder,
nuclear,hinge,
opposition,hint,
,hinterland,
predictable,hold a large stake,
spacecraft,hoe,
corresponding,hollow,
restoration,,
roll,,
rotation,,
satiric,homemade,
,homespun,
flake,homesteader,
specify,homogenize,
spinning,homogeneous,
insufficient,horde,
supervise,horizon,
thereby,horizontal,
adverse,horn,
volunteer,horned,
accuracy,hornbill,
,hornet,
alternate,pronghorn,
,foghorn,
amplification,thorn,
announcement,thorny,
announcer,horror,
assembly,horror film/movie,
,hospitable,
,hostile,
,hostility,
,hover,
combustible,hovercraft,
cast-iron,hub,
,,
comprehensive,huddle,
contrary,,
controversy,hue,
aircraft,humanity,
dependable,humanitarian,
,nonhuman,
detective,humanistic,
dimension,humanist,
dive,humble,
diversion,humiliate,
drainage,humility,
draw,hump,
equality,hunger,
equivalent,hurl,
,husk,
fictional,,
,hustle,
,hydrogen,
formerly,hygiene,
fortune,hypersensitive,
implication,hypothesis,
industrialized,hypothesize,
,icon,
instrumentalist,,
intentionally,iconographic,
maritime,ideology,
mechanics,ideological,
meteorologist,idiom,
multiply,idiomatic,
orbital,idyllic,
packed,igneous,
,ignite,
pleasing,illegible,
possession,illiterate,
aircraft,illuminate,
relaxation,,
revision,illumination,
savings,illusion,
scope,illusive,
slight,imbibe,
withstand,immense,
theoretical,immobile,
underlying,immobilize,
unity,demobilize,
urbanization,impair,
conversion,impart,
ozone,impartial,
abandoned,impede,
inability,impediment,
norm,impending,
accumulation,imperative,
administrator,,
affordable,impermeable,
appreciation,impersonal,
,impersonate,
barb,impersonation,
polar bear ,impetus,
,complement,
bow,complementary,
,complimentary,
buddy,impregnate,
combustion,imprint,
cautious,,
charter,imprisonment,
checkout,improbable,
choreography,improvise,
circumference,improvision,
climatic,improviser,
comprehensible,impulse,
confusion,in conjunction with,
unconscious,in accord with,
constitute,in common,
,in scale,
contraction,inaccessible,
curiosity,inactivate,
custom,inanimate,
documentation,inaugurate,
domesticated,,
,incapacitate,
overdue,incense,
elevate,,
elevator,incentive,
entertain,inception,
excavate,incessant,
excitement,incident,
flavoring,incidentally,
informal,incidence,
functioning,coincident,
earthenware,coincidence,
gravitational pull,incisive,
heavenly,incise,
identifiable,inclination,
inspection,inclined,
long-lasting,,
liberate,inclusive,
,incompatible,
submarine,incomprehensible,
merchandise,incongruity,
microcosm,incongruous,
,incredible,
novelty,incredulity,
opponent,incur,
,indefinite,
,indefinitely,
,indent,
recreational,indented,
renewal,indenture,
resemblance,indifferent,
reside,indifference,
correspond,indigent,
revolutionize,indigence,
ruins,indigenous,
scarcely,indigestion,
scholarly,indiscriminate,
sensitivity,indiscriminately,
,indiscrimination,
stimulation,indispensable,
sunflower,individualism,
,induce,
supposedly,inducible,
towering,ineligible,
tract,inert,
transmitter,inevitably,
typify,inextricably,
,infancy,
urbanize,infection,
earthenware,infectious,
weaver,inferior,
seaweed,inferiority,
woolly,infertile,
variability,infest,
accompanying,infiltrate,
accompaniment,inflexible,
adaptable,inflict,
,afflict,
alteration,influential,
,influenza,
,influx,
appreciable,informal,
,informed,
audition,be informed about,
authentic,infuse,
imbalance,infusion,
,ingenious,
biological diversity,ingenuous,
,inherent,
chord,inherit,
chorus,inheritance,
,inject,
circuit,innate,
circulate,innermost,
,innocent,
